Intent,User_message,Entity,Bot_Response
Morning_Greeting,Bonjour,,"Bonjour ! 🌱 Une belle journée pour manger sain, non ?"
Morning_Greeting,Bnjrr,,"Bonjour, besoin de conseils nutrition ?🍎"
Morning_Greeting,Bon matin,,"Bonjour, prêt pour une nouvelle journée ?🌞"
Morning_Greeting,"Bonjour, ça va ?",,Bonjour ! En quoi puis-je vous être utile ?👋
Morning_Greeting,Rebonjour,,Toujours un plaisir de te retrouver 😊
Morning_Greeting,"Bonjour, je me sens fatigué(e)",,"Hey, quoi de neuf ?😊"
Morning_Greeting,Morning,,Good morning! 🍓 Yogurt bowl or eggs for energy today?
,,,
Afternoon_Greeting,Bon après-midi !	,,"Coucou chef ! 👨‍🍳 Je propose salade quinoa ou poke bowl, tu préfères ?"
Afternoon_Greeting,Hello l’après-midi,,Hey ! Voici ton menu <500 cal : 1. Soupe 2. Saumon vapeur 3. Lentilles👨‍🍳
Afternoon_Greeting,"Salut, bon aprem !	",,"Hello, envie de manger sain ?❤️"
Afternoon_Greeting,Bonne après-midi à toi	,,"Salut, comment tu vas ?🏃‍♂️🥦"
Afternoon_Greeting,"Coucou, comment ça va cet aprem ?",,Super initiative ! 🌿 Voici des options 100% healthy pour toi
,,,
greeting_informal,Ciao,,Ciao ! 🌞 Comment puis-je t'aider aujourd'hui ?
greeting_informal,Hello,,Heyyy ! 💫 Ton énergie est contagieuse ! Quel type de repas te motive ?
greeting_informal,yo,,Génial ! 🚀 Parlons de ton menu énergisant pour la journée !
greeting_informal,Hola,,Je suis là pour toi ! ❤️ Par où commençons-nous : recettes ou conseils ?
greeting_informal,"Hello, j'ai faim !",,Voici des idées pour calmer ta faim intelligemment🍎 
greeting_informal,"Coucou, je débute en nutrition",,Bienvenue sur BiteWise! 🎉 Commençons par des bases simples et gourmandes.
greeting_informal,Hi !,,Hi there! 🌟 Ready to cook something delicious and healthy?
greeting_informal,Pst,,Hola! 🥑 ¿Recetas ligeras o llenas de sabor hoy?
greeting_informal,Ciao,,Ciao bella/o! 🍝 Pasta sana o algo ligero?
greeting_informal,pstt,,Je suis opérationnel 💡 Balance ta question !
greeting_informal,Hallo,,Prends une grande inspiration 🧘‍♂️... et parlons d'un menu apaisant🥦💪
greeting_informal,yoooo,,Bonsoir ! 🌙 Prêt(e) pour un dîner équilibré ?
greeting_informal,hé,,Hey hey ! Comment tu vas ? 😊
greeting_informal,hey bot,,Yo ! T’as besoin d’un coup de main ? 💬
greeting_informal,Hello le bot !,,Hello ! Je suis là pour vous 👋
